QUEST_LV_0500_20190513_000001		누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20210813_000901	沒時間在這裡耗了…	이러고 있을 때가 아닌데..
QUEST_LV_0500_20210813_000902	{nl}好。{nl}走吧。	{nl}알겠어.{nl}가자.
QUEST_LV_0500_20210813_000903	先去團員說的地方看看吧。{nl}位置我標在地圖上了。	단원이 알려준 곳으로 우선 가보자.{nl}위치는 내가 지도에 표기해 뒀어.
QUEST_LV_0500_20210813_000904	至少帕歐皮斯渡口應該是沒有地方要確認了。{nl}辛苦你了。	적어도 파우피스 나루에는 확인할 곳이 더 없는 것 같아.{nl}수고했어.
QUEST_LV_0500_20210813_000905	那我們就在這裡分開吧。{nl}我在這裡還有事情要弄清楚。{nl}你要回歐勒夏嗎？	그럼 동행은 여기까지만 할까?{nl}난 좀 더 이곳에서 확인해야 할 게 있어.{nl}넌 오르샤로 돌아갈꺼야?
QUEST_LV_0500_20210813_000906	真頭痛…{nl}這周遭倖存的村子情況不比歐勒夏好，不能接受他們的幫助。	난감하군요..{nl}이 주변에 살아남은 마을도 오르샤보단 상황이 좋지 못하니 그들의 도움을 받을 수도 없습니다.
QUEST_LV_0500_20210813_000907	好，那你跟團員大叔說我們的計畫！{nl}我會在旁邊等。	좋아, 그럼 단원 아저씨에게 우리 계획을 말해줘!{nl}난 옆에서 기다리고 있을게.
QUEST_LV_0500_20210813_000908	嗯…	음....
QUEST_LV_0500_20210813_000909	這在修補城牆上應該管用。{nl}現在回去找重建班團員吧。	성벽 보수하는 데 쓸만하겠는데.{nl}이제 복구반 단원에게 돌아가자.
QUEST_LV_0500_20210813_000910	剛剛收集的東西你來拿。{nl}剩下的我帶走。	방금 모은 건 네가 들어줘.{nl}나머지는 내가 가지고 갈게.
QUEST_LV_0500_20210813_000911	這樣可以嗎？{nl}兩位真的很可靠。{nl}那我們在帕歐皮斯渡口前見吧。	그래 주시겠습니까?{nl}두 분이 계셔서 정말 든든하군요.{nl}그럼 파우피스 나루 앞에서 뵙겠습니다.
QUEST_LV_0500_20210813_000912	果然很值得信賴啊！{nl}我把容易藏人的地方告訴你們。	역시 믿음직스럽군요!{nl}제가 사람들이 숨어있을 만한 곳을 알려드리겠습니다.
QUEST_LV_0500_20210813_000913	那就萬事拜託了。{nl}我就相信二位，先走一步。	그럼 잘 부탁드립니다.{nl}두 분만 믿고 저는 먼저 가보겠습니다.
QUEST_LV_0500_20210813_000914	別磨磨蹭蹭的，快點把事情做完。	꾸물거리지 말고 어서 일을 끝내자.
QUEST_LV_0500_20210813_000915	嗯…{nl}那再多搜查一些這附近吧。	그래..{nl}그럼 좀 더 이 근처를 수색해볼까.
QUEST_LV_0500_20210813_000916	總覺得能發現我在找的東西。	뭔가 내가 찾는 걸 발견할 수 있을 거 같아.
QUEST_LV_0500_20210813_000917	聖者的祈禱所{nl}你有聽過嗎？	자네,{nl}성자의 기도소에 대해 들어본 적이 있는가?
QUEST_LV_0500_20210813_000918	是傳說中的人物大賢者西爾韋斯特羅梅伊班生前經常進行祈禱的神聖之地。	전설적인 인물이셨던 대현자 실베스트로 메이번께서 살아생전 늘 기도를 올리시던 신성한 장소이지.
QUEST_LV_0500_20210813_000919	我不知道那個地方準確位於哪裡。{nl}只要梅伊班自己不願意，誰都看不見祈禱所的。{nl}據說就算現在梅伊班離開這世間已久，情況還是一樣。	그곳이 정확히 어디에 있는지는 모르네.{nl}메이번께서 스스로 바라지 않는 한 그 누구에게도 기도소의 모습은 보이지 않거든.{nl}메이번께서 이 세상을 떠난 지 오랜 지금까지도 마찬가지라네.
QUEST_LV_0500_20210813_000920	但我告訴你這件事是有原因的。{nl}神樹之日當時，鋼弩手大師比利烏斯和他的家人們在歐勒夏近郊的加橋森林。{nl}那時他們被強悍的魔族追趕著，結果魔族和他的家人一起被捲入一陣奇怪的爆炸後，人便消失得無影無蹤。	그러나, 자네에게 이런 이야기를 하는 이유가 있네.{nl}신수의 날 당시 아발리스터 마스터인 빌리우스와 그 가족들이 오르샤 근방의 덧댄다리 숲에 있었네.{nl}그 당시 강력한 마족에게 쫓기다가 그의 가족들과 마족이 함께 의문의 폭발에 휩 싸이고는 감쪽같이 사라졌다고 하지.
QUEST_LV_0500_20210813_000921	傳說聖者的祈禱所是仿造梅伊班得到敘品的地方建成的。{nl}而那個地方就是現在被稱為梅伊班大修道院中的光榮禮堂。	성자의 기도소는 메이번께서 서품을 받았던 장소를 본따 만들었다고 전해지네.{nl}바로 그 장소가 지금은 메이번 대수도원으로 불리는 곳의 영광의 홀이라네.
QUEST_LV_0500_20210813_000922	剛好比利烏斯的家人消失的地點與梅伊班大修道院地理位置上頗接近。{nl}萬一那裡是聖者的祈禱所的話…{nl}我覺得事情會發生，肯定是梅伊班的意思。	마침, 빌리우스의 가족들이 사라진 지점과 메이번 대수도원은 지리적으로 꽤 가깝지.{nl}만약 그곳이 성자의 기도소라면..{nl}분명 메이번님의 뜻으로 그런 일이 벌어진 거로 생각하네.
QUEST_LV_0500_20210813_000923	剛好比利烏斯聽到了歐勒夏的情況，前往了加橋森林，你去見見他怎麼樣？	마침 빌리우스가 오르샤의 상황을 듣고 덧댄다리 숲으로 갔으니 그를 만나보는 게 어떻겠나?
QUEST_LV_0500_20210813_000924	好主意。{nl}比利烏斯不像外表那樣，他心裡一定有很大的負擔。	좋은 생각일세.{nl}빌리우스는 겉과 달리 마음속에 큰 짐을 지니고 있을게야.
QUEST_LV_0500_20210813_000925	快去見他吧。	어서 가서 그를 만나보게나.
QUEST_LV_0500_20210813_000926	聖者的祈禱所？	성자의 기도소?
QUEST_LV_0500_20210813_000927	也就是說，那個魔族說不定還活著。	그렇다면 아직 그 마족이 살아 있을지도 모른다는 말이구나.
QUEST_LV_0500_20210813_000928	既然這樣，我很樂意尋求求助。{nl}事到如今，我已經不奢望家人還活著了。	그렇다면 기꺼이 도움을 청할게.{nl}이제 와서 가족들이 살아있기까지는 바라지 않아.
QUEST_LV_0500_20210813_000929	只是，{nl}萬一那個魔族逃出那裡…{nl}歐勒夏會在一瞬間變成廢墟。	다만,{nl}그 마족이 만에 하나 그곳을 빠져나오게 된다면..{nl}오르샤는 순식간에 쑥대밭이 될 거야.
QUEST_LV_0500_20210813_000930	做好萬全準備再出發吧。	단단히 준비하고 출발하자.
QUEST_LV_0500_20210813_000931	如果是梅伊班祈禱了一輩子的地方…{nl}我想那一定是個神聖之力不輸給大聖堂或供奉女神之聖所的聖域。	메이번께서 평생을 기도하던 장소라면..{nl}분명 대성당이나 여신을 모시는 성소에 버금가는 신성력이 존재하는 성역일걸세.
QUEST_LV_0500_20210813_000932	如果是那種地方，就算自神樹之日發生已經過了幾年，比利烏斯的家人說不定還是活著。{nl}魔族可能也一樣就是了…	그런 장소라면 신수의 날로부터 몇 년이 지난 지금도 여전히 빌리우스의 가족들이 살아있을지도 모를 일이지.{nl}어쩌면 그 마족도 마찬가지겠지만..
QUEST_LV_0500_20210813_000933	你快去找比利烏斯吧。{nl}我聽說比利烏斯在加橋森林。	어서 가서 빌리우스를 찾아보게.{nl}빌리우스는 덧댄다리 숲에 있다고 들었네.
QUEST_LV_0500_20210813_000934	我是聽到歐勒夏的狀況來幫忙的。{nl}這裡也是埋葬我家人的地方。{nl}不能讓任何魔族奪走。	오르샤의 상황을 듣고 도우러 왔어.{nl}여긴 내 가족들의 무덤이기도 해.{nl}그 어떤 마족에게도 넘겨줄 수 없어.
QUEST_LV_0500_20210813_000935	差點就大事不妙了。	하마터면 큰일 날 뻔했어.
QUEST_LV_0500_20210813_000936	雖然不清楚我是怎麼破壞注視者的弓的…	내가 어떻게 주시자의 활을 파괴했는지는 잘 모르겠지만..
QUEST_LV_0500_20210813_000937	帕烏魯斯的靈魂最後是被注視者帶走的嗎？	파울루스의 영혼은 결국 주시자가 가져간 거지?
QUEST_LV_0500_20210813_000938	趕緊準備前往德慕爾吧。	서둘러 델무어로 갈 준비를 하자.
QUEST_LV_0500_20210813_000939	你可以替我把在這裡收集的證據交給歐勒夏領主嗎？{nl}準備好之後在德慕爾再見吧。	나 대신 오르샤 영주에게 여기서 모은 증거품들을 전해줄래?{nl}준비되면 델무어에서 다시 만나자.
QUEST_LV_0500_20210813_000940	出示證據給歐勒夏的領主伊內沙黑蒙戴伊	오르샤의 영주인 이네사 해먼데일에게 증거품들을 보여주자
QUEST_LV_0500_20210813_000941	真的謝謝你替處於危機的歐勒夏費心。	위기에 처한 오르샤를 위해서 애써주셔서 정말 감사합니다.
QUEST_LV_0500_20210813_000942	意思是你在亞夏克地牢裡發現了這些。	이것들을 아샤크 지하 감옥에서 발견했다는 말씀이시군요.
QUEST_LV_0500_20210813_000943	謝謝你。{nl}一想到自己無法讓無辜的百姓免於魔族殘忍的實驗，我就覺得很慚愧…	감사합니다.{nl}마족의 반인격적인 실험으로부터 무고한 백성들의 목숨을 지키지 못했다고 생각하니 면목이 없군요..
QUEST_LV_0500_20210813_000944	我得做好去德慕爾的萬全準備。{nl}請啟示者務必為我們打頭陣。	델무어로 가기 위해 만반의 준비를 해야겠습니다.{nl}부디, 계사자께서 우리의 선봉에 서주시기를 바랍니다.
QUEST_LV_0500_20210813_000945	啟示者。{nl}奇雷恩地方的帕歐皮斯渡口有個地方豎立著巨大克魯比那屏障，你有看見嗎？	계시자님.{nl}키렌 지방의 파우피스 나루 한쪽에 거대한 크루비나 장벽이 솟아오른 걸 혹시 보셨습니까?
QUEST_LV_0500_20210813_000946	那裡是過去與亞夏克地牢1層入口相連的路。{nl}那種地方怎麼會…{nl}我覺得真的是太不尋常的現象了。	그곳은 과거 아샤크 지하 감옥의 1층의 입구와 이어져 있던 길입니다.{nl}그런 곳에 어째서..{nl}너무나도 부자연스러운 현상이라고 생각합니다.
QUEST_LV_0500_20210813_000947	我也是可以交給其他人調查，{nl}但那極不尋常的巨大克魯比那就是讓我有種不好的預感。	다른 이에게 조사를 맡길 수도 있겠지만,{nl}유독 심상치 않은 커다란 크루비나인만큼 위험한 예감이 듭니다.
QUEST_LV_0500_20210813_000948	希望啟示者你務必幫忙調查。	계시자님께서 부디 조사해주셨으면 합니다.
QUEST_LV_0500_20210813_000949	謝謝你爽快地答應幫忙。{nl}雖然克魯比那屏障擋住了亞夏克地牢 1層的入口，{nl}但只要藉由小路，就可以進去亞夏克地牢2層了。	군말 없이 협조해주셔서 감사합니다.{nl}크루비나 장벽이 아샤크 지하 감옥 1층의 입구를 막고 있지만, {nl}샛길을 통한다면 아샤크 지하 감옥 2층으로 진입하실 수 있을 겁니다.
QUEST_LV_0500_20210813_000950	你先調答看看巨大克魯比那屏障，再進去亞夏克地牢2層比較好。	거대 크루비나 장벽을 먼저 조사해보시고 아샤크 지하 감옥 2층으로 진입하시는 게 좋을 겁니다.
QUEST_LV_0500_20210813_000951	巨大克魯比那屏障擋住了去亞夏克地牢1層的路	거대한 크루비나 장벽이 아샤크 지하 감옥 1층으로 가는 길을 막아서고 있다
QUEST_LV_0500_20210813_000952	若能透過小路，你就可以進入亞夏克地牢2層了。	샛길을 통한다면 아샤크 지하 감옥 2층으로 진입하실 수 있을 겁니다.
QUEST_LV_0500_20210813_000953	啟示者？	계시자?
QUEST_LV_0500_20210813_000954	你就是被稱為啟示者的人啊。	당신은 계시자라 불리는 사람이군요.
QUEST_LV_0500_20210813_000955	注視者是這麼稱呼的，我偶爾會聽到關於這些人的事。{nl}聽說是夢到了拉伊瑪女神的夢吧？{nl}你好像跟我妹妹帕亞烏塔有緣份啊。	간혹 주시자가 그렇게 불리는 사람들에 대한 이야기를 한 적이 있습니다.{nl}라이마 여신의 꿈을 꾼 사람들이라지요?{nl}제 동생 파야우타와 인연이 있으신 듯하네요.
QUEST_LV_0500_20210813_000956	如果你是來調查這裡的，可以幫幫我的妹妹嗎？{nl}我被跟隨注視者的魔族看到沒有什麼好處。	혹시 이곳을 조사하러 오신 거라면 제 동생을 도와주시겠습니까?{nl}저는 주시자를 따르는 마족들에게 보여서 좋을 게 없습니다.
QUEST_LV_0500_20210813_000957	周圍的魔族清得差不多了。{nl}這樣應該能進到更深層的地方。	주변의 마족들은 이제 정리가 된 거 같네.{nl}이 정도면 좀 더 깊이 들어갈 수 있겠어.
QUEST_LV_0500_20210813_000958	你看此處魔族們的衣著。{nl}很像鍊金術士和瘟疫醫生。	여기 있는 마족들의 복장을 봐봐.{nl}알케미스트나 플레이그 닥터랑 비슷한 느낌이야.
QUEST_LV_0500_20210813_000959	肯定和帕烏魯斯說的實驗有關。	파울루스가 말한 실험과 분명 연관이 있어.
QUEST_LV_0500_20210813_000960	說不定能從他們身上找到什麼。	녀석들에게서 뭐라도 찾을 수 있을지도 몰라.
QUEST_LV_0500_20210813_000961	莫克斯拉手上應該有什麼。{nl}打倒他們，看看他們的隨身物吧。	모크슬라들이 뭐라도 가지고 있을 거야.{nl}녀석들을 잡아서 소지품을 보자.
QUEST_LV_0500_20210813_000962	關於人類的研究資料…{nl}這裡面重複的內容真不少。{nl}這個樣子應該夠了。	인간에 관한 연구 자료..{nl}이 중에서도 겹치는 내용이 꽤 있네.{nl}이 정도면 충분한 거 같아.
QUEST_LV_0500_20210813_000963	證物由我拿著吧。	증거물들은 내가 가지고 있을게.
QUEST_LV_0500_20210813_000964	帕烏魯斯應該在附近。{nl}去找找看帕烏魯斯。	근처에 파울루스가 있을 거야.{nl}파울루스를 찾아보자.
QUEST_LV_0500_20210813_000965	你平安回來啦。{nl}帕亞烏塔，謝謝你代替我這個哥哥。	무사히 들어오셨군요.{nl}파야우타, 이 오빠를 대신해줘서 정말 고맙다.
QUEST_LV_0500_20210813_000966	啟示者。{nl}這附近的書櫃是莫克斯拉們保管研究記錄和所需資料的地方。	계시자님.{nl}이 근처에 보이시는 책장들은 모크슬라들이 연구의 기록지나 필요한 자료들을 보관하는 곳입니다.
QUEST_LV_0500_20210813_000967	應該會有那個可怕實驗所需的東西。	분명히 그 끔찍한 실험을 위해 필요했을 무언가가 있을 겁니다.
QUEST_LV_0500_20210813_000968	你找到資料後再過來這裡。{nl}我會暫時先躲避。	자료를 찾으시면 다시 이곳으로 와주세요.{nl}저는 잠시 피해 있겠습니다.
QUEST_LV_0500_20210813_000969	奎普博學者的研究嗎…	큅메이지의 연구라..
QUEST_LV_0500_20210813_000970	奎普博學者是變成魔族的人類。{nl}因為注視者利用克魯比那強行進行了將人類變成魔族的實驗…	큅 메이지는 마족이 된 인간이죠.{nl}주시자는 크루비나를 이용해 인간을 마족으로 만드는 실험을 강행했으니..
QUEST_LV_0500_20210813_000971	我想那份資料會成為確實的證據。	그 자료는 확실한 증거가 될 겁니다.
QUEST_LV_0500_20210813_000972	這份研究資料也由我來保管。	이 연구 자료도 내가 보관하고 있을게.
QUEST_LV_0500_20210813_000973	因實驗犧牲的人們，他們的隨身物品應該在莫克斯拉們手上。	실험에 희생당한 사람들의 소지품을 모크슬라들이 가지고 있을 겁니다.
QUEST_LV_0500_20210813_000974	他們有將東西塞滿自己袋子的習性。{nl}不過他們並不細心，很常掉東掉西的。	녀석들은 자기 주머니에 물건을 채워 넣는 습성이 있습니다.{nl}하지만 꼼꼼한 녀석들은 아니라 바닥에 곧, 잘 흘리고 다닙니다.
QUEST_LV_0500_20210813_000975	請從掉在地上的莫克斯拉的袋子中，尋找死者們的隨身物品。	바닥에 떨어진 모크슬라들의 주머니에서 죽은 사람들의 소지품을 찾아보세요.
QUEST_LV_0500_20210813_000976	因實驗而死亡的人若是貴族，王室一定會緊張。{nl}中央通道是 莫克斯拉常走的地方，應該很容易能找到袋子。	실험으로 죽은 사람들이 귀족이라면, 왕실에서도 예민한 반응을 보일 겁니다.{nl}중앙 통로는 모크슬라들이 자주 지나다니는 곳이니 주머니를 쉽게 찾으실 수 있을 겁니다.
QUEST_LV_0500_20210813_000977	還有，去檢查室應該會有名為靈魂束縛劑的重要研究資料。{nl}我們在那裡見吧。	그리고 검사실에 가면 영혼 구속제라는 중요한 연구 재료가 보관되어 있을 겁니다.{nl}그곳에서 뵙죠.
QUEST_LV_0500_20210813_000978	想到王國都要滅亡了還帶上寶石，就覺得有點可笑。	왕국이 무너지는 와중에도 보석이나 챙기고 있었다고 생각하니 조금은 우습네.
QUEST_LV_0500_20210813_000979	給我吧，我保管。	내게 줘, 보관하고 있을게.
QUEST_LV_0500_20210813_000980	帕烏魯斯說有個叫靈魂束縛劑的重要研究資料在這上方的檢查室。	파울루스는 영혼 구속제라는 중요한 연구 재료가 이 위에 있는 검사실에 있다고 했어.
QUEST_LV_0500_20210813_000981	趕緊去檢查室吧。	서둘러 검사실로 가자.
QUEST_LV_0500_20210813_000982	靈魂束縛劑應該放在檢查室裡。	영혼 구속제는 검사실에 보관되어 있을 거야.
QUEST_LV_0500_20210813_000983	太好了。{nl}確認看看保管箱吧。	다행이야.{nl}보관함을 확인해 보자.
QUEST_LV_0500_20210813_000984	奇怪…{nl}為什麼沒有任何反應？	이상해..{nl}왜 아무 반응도 없는 거지?
QUEST_LV_0500_20210813_000985	帕烏魯斯的靈魂平安回來了	파울루스의 영혼이 무사히 돌아왔다
QUEST_LV_0500_20210813_000986	居然…{nl}看來我的靈魂破碎了…	이런..{nl}제 영혼이 부서졌었나 보군요..
QUEST_LV_0500_20210813_000987	帕亞烏塔，抱歉讓你擔心了。{nl}也謝謝啟示者。	파야우타, 걱정시켜서 미안하구나.{nl}계시자님께도 감사합니다.
QUEST_LV_0500_20210813_000988	這前方有通往亞夏克地牢隔離區域的入口。{nl}只是裡面有個叫莫克斯拉 巴爾道勃斯的傢伙，他是莫克斯拉們的頭目，應該不會太容易。	이 앞은 아샤크 지하 감옥 격리 구역으로 통하는 입구가 있습니다.{nl}그러나, 모크슬라 발도바스라는 모크슬라들의 우두머리가 그 안에 있어서 쉽지 않을 겁니다.
QUEST_LV_0500_20210813_000989	我覺得把莫克斯拉 巴爾道勃斯引過來這邊，然後趁機通過比較好。{nl}由啟示者你去引誘巴爾道勃斯，{nl}我和帕亞烏塔會先進入隔離區域，並在那裡清出一條路，方便你從後面跟上。	모크슬라 발도바스를 이쪽으로 불러들이고 그 사이에 통과하는 게 좋겠습니다.{nl}계시자님께서 발도바스를 유인해주신다면,{nl}파야우타와 제가 먼저 격리 구역으로 진입해 계시자님이 무사히 따라 올 수 있도록 그곳을 정리해두겠습니다.
QUEST_LV_0500_20210813_000990	他失去意識了{nl}確認帕亞烏塔的狀態吧	의식을 잃었다{nl}파야우타의 상태를 확인하자
QUEST_LV_0500_20210813_000991	抱歉…{nl}我大意了。	미안..{nl}방심했어.
QUEST_LV_0500_20210813_000992	帕烏魯斯呢？	파울루스는?
QUEST_LV_0500_20210813_000993	身體不聽使喚…{nl}你還好嗎？	몸이 말을 듣지 않아..{nl}너는 괜찮은 거야?
QUEST_LV_0500_20210813_000994	拜託你。{nl}別讓注視者跑了。	부탁이야.{nl}주시자를 놓치지 마.
QUEST_LV_0500_20210813_000995	雖然帕烏魯斯背叛了我們，但他是我的家人。{nl}幫我找回帕烏魯斯的靈魂。	비록 우리를 배신했지만 파울루스는 내 가족이야.{nl}파울루스의 영혼을 되찾아 줘.
QUEST_LV_0500_20210813_000996	要是啟示者你用控制桿引誘巴爾道勃斯，{nl}我和帕亞烏塔會先進入隔離區域做清理，方便你能跟上。	계시자님께서 레버를 사용해 발도바스를 유인해주신다면,{nl}파야우타와 제가 먼저 격리 구역으로 진입해 계시자님이 따라 올 수 있도록 그곳을 정리해두겠습니다.
QUEST_LV_0500_20210813_000997	最好和帕亞烏塔分成兩邊包抄，讓瘋狂馬魯若斯逃不出去。{nl}你選擇想要的方向先出發吧。	광기의 마르녹스가 도망가지 못하도록 파야우타와 양쪽으로 나뉘어 녀석을 몰아넣는 게 좋습니다.{nl}원하시는 방향으로 먼저 출발하시죠.
QUEST_LV_0500_20210813_000998	謎樣說書人	의문의 이야기꾼
QUEST_LV_0500_20210813_000999	{#FF0000}※ 這裡是英雄譚導覽任務。{/}{nl}啟示者你好。	{#FF0000}※ 영웅담 진행을 위한 튜토리얼 퀘스트입니다.{/}{nl}계시자 님 안녕하세요?
QUEST_LV_0500_20210813_001000	我有事情想說給啟示者聽，所以請你過來。	계시자님에게 들려 드리고 싶은 이야기가 있어서 계시자님을 불렀습니다.
QUEST_LV_0500_20210813_001001	你想知道嗎？	어떠실까요?
QUEST_LV_0500_20210813_001002	[英雄譚] 無法留下的事	[영웅담] 남지 못한 이야기들
QUEST_LV_0500_20210813_001003	我想知道	이야기가 궁금하다고 한다
QUEST_LV_0500_20210813_001004	藏於地下的那些秘密(1)	지하에 감춘 비밀들(1)
QUEST_LV_0500_20210813_001005	藏於地下的那些秘密(2)	지하에 감춘 비밀들(2)
QUEST_LV_0500_20210813_001006	我無法相信帕烏魯斯	파울루스를 믿을 수 없다고 한다
QUEST_LV_0500_20210813_001007	藏於地下的那些秘密(3)	지하에 감춘 비밀들(3)
QUEST_LV_0500_20210813_001008	暫時休息一下吧	잠시 쉬자고 한다
QUEST_LV_0500_20210813_001009	藏於地下的那些秘密(4)	지하에 감춘 비밀들(4)
QUEST_LV_0500_20210813_001010	我會先做其他的事	다른 일을 먼저 하겠다고 한다
QUEST_LV_0500_20210813_001011	藏於地下的那些秘密(5)	지하에 감춘 비밀들(5)
QUEST_LV_0500_20210813_001012	藏於地下的那些秘密(6)	지하에 감춘 비밀들(6)
QUEST_LV_0500_20210813_001013	藏於地下的那些秘密(7)	지하에 감춘 비밀들(7)
QUEST_LV_0500_20210813_001014	趕快去確認吧	어서 확인하자고 한다
QUEST_LV_0500_20210813_001015	抱歉，請再等等	미안하지만 기다려달라고 한다
QUEST_LV_0500_20210813_001016	藏於地下的那些秘密들(8)	지하에 감춘 비밀들(8)
QUEST_LV_0500_20210813_001017	受折磨的魔君主	고통받는 마군주
QUEST_LV_0500_20210813_001018	往右(1)	우측으로(1)
QUEST_LV_0500_20210813_001019	往右(2)	우측으로(2)
QUEST_LV_0500_20210813_001020	往左(1)	좌측으로(1)
QUEST_LV_0500_20210813_001021	往左(2)	좌측으로(2)
QUEST_LV_0500_20210813_001022	會合	합류
QUEST_LV_0500_20210813_001023	有尊嚴的死去(1)	인간다운 죽음(1)
QUEST_LV_0500_20210813_001024	有尊嚴的死去(2)	인간다운 죽음(2)
QUEST_LV_0500_20210813_001025	我拒絕了	기절헀다고 한다
QUEST_LV_0500_20210813_001026	我會再去確認看看	다시 확인해보겠다고 한다
QUEST_LV_0500_20210813_001027	追逐傳教者(1)	설교자 쫓기(1)
QUEST_LV_0500_20210813_001028	追逐傳教者(2)	설교자 쫓기(2)
QUEST_LV_0500_20210813_001029	追逐傳教者(3)	설교자 쫓기(3)
QUEST_LV_0500_20210813_001030	追逐傳教者(4)	설교자 쫓기(4)
QUEST_LV_0500_20210813_001031	追逐傳教者(5)	설교자 쫓기(5)
QUEST_LV_0500_20210813_001032	追逐傳教者(6)	설교자 쫓기(6)
QUEST_LV_0500_20210813_001033	追逐傳教者(7)	설교자 쫓기(7)
QUEST_LV_0500_20210813_001034	追逐傳教者(8)	설교자 쫓기(8)
QUEST_LV_0500_20210813_001035	追逐傳教者(9)	설교자 쫓기(9)
QUEST_LV_0500_20210813_001036	追逐傳教者(10)	설교자 쫓기(10)
QUEST_LV_0500_20210813_001037	追逐傳教者(11)	설교자 쫓기(11)
QUEST_LV_0500_20210813_001038	現在需要休息	지금은 쉬어야겠다고 한다
QUEST_LV_0500_20210813_001039	聖者的祈禱所	성자의 기도소
QUEST_LV_0500_20210813_001040	詢問更多關於聖者的祈禱所的事	성자의 기도소에 대해 더 묻는다
QUEST_LV_0500_20210813_001041	岔路	갈림길
QUEST_LV_0500_20210813_001042	王國重建團的委託	왕국 재건단의 부탁
QUEST_LV_0500_20210813_001043	表明自己是啟示者，並樂意幫忙	계시자임을 밝히고 기꺼이 돕겠다고 한다
QUEST_LV_0500_20210813_001044	蓮帕拉沙池塘的魔族們	렘파라사 연못의 마족들
QUEST_LV_0500_20210813_001045	沒有支援我就不幹了	지원이 없으면 싫다고 한다
QUEST_LV_0500_20210813_001046	親切的面孔	반가운 얼굴
QUEST_LV_0500_20210813_001047	攻擊是最好的防禦(1)	최선의 방어는 공격(1)
QUEST_LV_0500_20210813_001048	我對計畫不滿意	계획이 마음에 들지 않는다고 한다
QUEST_LV_0500_20210813_001049	攻擊是最好的防禦(2)	최선의 방어는 공격(2)
QUEST_LV_0500_20210813_001050	我來帶頭	앞장서겠다고 한다
QUEST_LV_0500_20210813_001051	請前往加橋森林	덧댄다리 숲으로 향하세요
QUEST_LV_0500_20210813_001052	一切都欠缺的情況	모든 것이 부족한 상황
QUEST_LV_0500_20210813_001053	我會和帕亞烏塔討論看看	파야우타와 의논해보겠다고 한다
QUEST_LV_0500_20210813_001054	沒其他辦法了	별 수 없다고 한다
QUEST_LV_0500_20210813_001055	好方法(1)	좋은 방법(1)
QUEST_LV_0500_20210813_001056	這是個很聰明的想法	천재적인 발상이라고 한다
QUEST_LV_0500_20210813_001057	我覺得好混亂	혼란스럽다고 한다
QUEST_LV_0500_20210813_001058	好方法(2)	좋은 방법(2)
QUEST_LV_0500_20210813_001059	好方法(3)	좋은 방법(3)
QUEST_LV_0500_20210813_001060	好方法(4)	좋은 방법(4)
QUEST_LV_0500_20210813_001061	厲害的物資	훌륭한 물자
QUEST_LV_0500_20210813_001062	我們一起去	같이 가겠다고 한다
QUEST_LV_0500_20210813_001063	我會去商量看看	의논해보겠다고 한다
QUEST_LV_0500_20210813_001064	請跟著歐勒夏災後重建班前往帕歐皮斯渡口	오르샤 피해 복구반을 따라 파우피스 나루로 이동하세요
QUEST_LV_0500_20210813_001065	另一批受害者	또 다른 피해자들
QUEST_LV_0500_20210813_001066	我會盡力尋找	최대한 찾아보겠다고 한다
QUEST_LV_0500_20210813_001067	別漏掉任何一個人	남겨지는 사람이 없도록
QUEST_LV_0500_20210813_001068	這是沒有希望的事	가망 없는 이야기라고 한다
QUEST_LV_0500_20210813_001069	喪失的記憶	잃어버린 기억
QUEST_LV_0500_20210813_001070	會再一起行動一陣子	좀 더 함께 다니겠다고 한다
QUEST_LV_0500_20210813_001071	有人有事情要告訴你	누군가 당신에게 들려줄 이야기가 있습니다
QUEST_LV_0500_20210813_001072	有個人想告訴啟示者你特別的事情	누군가 계시자인 당신에게 특별한 이야기를 해주고 싶어합니다
QUEST_LV_0500_20210813_001073	請悅讀被遺忘的故事序言	잊혀진 이야기의 서문을 읽어보세요
QUEST_LV_0500_20210813_001074	移動至陌生卻又充滿熟悉感覺的空間{nl}請仔細聆聽說書人的話	낯설기도 하지만 익숙한 느낌이 가득한 공간으로 이동했습니다{nl}이야기꾼의 이야기를 차근차근 들어보세요
QUEST_LV_0500_20210813_001075	請與說書人對話。	이야기꾼과 대화하세요.
QUEST_LV_0500_20210813_001076	與說書人對話結束	이야기꾼의 이야기가 끝났습니다
QUEST_LV_0500_20210813_001077	去見歐勒夏的領主	오르샤의 영주를 만나기
QUEST_LV_0500_20210813_001078	歐勒夏的領主 伊內沙黑蒙戴伊正在等你{nl}請去找歐勒夏的領主說話{nl}	오르샤의 영주 이네사 해먼데일이 당신을 기다리고 있습니다{nl}오르샤의 영주를 찾아가 이야기를 들어보세요{nl}
QUEST_LV_0500_20210813_001079	調查擋在亞夏克地牢1層入口的克魯比那屏障	아샤크 지하 감옥 1층의 입구를 막아선 크루비나 장벽을 조사하기
